    , Unnamed: 0, committee_id, document                                        , received, due     , pages, pdf_url                                                  , pdf
1062,       1062,        97245, Post-Election Stmt - 11/05/2024 General Election, 12/04/24, 12/05/24,     5, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3591.PDF, /3591.PDF
1069,       1069,        97232, Post-Election Stmt - 11/05/2024 General Election, 12/03/24, 12/05/24,     5, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3805.PDF, /3805.PDF
1078,       1078,        97133, Post-Election Stmt - 11/05/2024 General Election, 12/06/24, 12/06/24,     5, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3594.PDF, /3594.PDF
1084,       1084,        97070, Post-Election Stmt - 11/05/2024 General Election, 11/27/24, 12/05/24,     3, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3533.PDF, /3533.PDF
1099,       1099,        97240, Post-Election Stmt - 11/05/2024 General Election, 12/06/24, 12/06/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3628.PDF, /3628.PDF
1110,       1110,        97235, Post-Election Stmt - 11/05/2024 General Election, 12/02/24, 12/05/24,     4, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3545.PDF, /3545.PDF
1121,       1121,        97248, Post-Election Stmt - 11/05/2024 General Election, 12/02/24, 12/05/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3588.PDF, /3588.PDF
1138,       1138,        97223, Post-Election Stmt - 11/05/2024 General Election, 12/10/24, 12/06/24,    11, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3835.PDF, /3835.PDF
1149,       1149,        97226, Post-Election Stmt - 11/05/2024 General Election, 11/21/24, 12/05/24,     4, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3528.PDF, /3528.PDF
1158,       1158,        97224, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     7, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3585.PDF, /3585.PDF
1165,       1165,        97116, Post-Election Stmt - 11/05/2024 General Election, 11/25/24, 12/05/24,     3, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3472.PDF, /3472.PDF
1174,       1174,        97215, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3504.PDF, /3504.PDF
1180,       1180,        97230, Post-Election Stmt - 11/05/2024 General Election, 12/04/24, 12/05/24,     4, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3569.PDF, /3569.PDF
1196,         10,            0, Post-Election Stmt - 11/05/2024 General Election, 12/11/24, 12/06/24,     3, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/2739.PDF, /2739.PDF
1222,         12,        97040, Post-Election Stmt - 11/05/2024 General Election, 12/02/24, 12/05/24,     4, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3485.PDF, /3485.PDF
1244,         11,        96968, Post-Election Stmt - 11/05/2024 General Election, 12/11/24, 12/06/24,    19, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3624.PDF, /3624.PDF
1262,          2,        96872, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,    17, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3676.PDF, /3676.PDF
1306,         15,        97022, Post-Election Stmt - 11/05/2024 General Election, 12/06/24, 12/06/24,    10, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3679.PDF, /3679.PDF
1337,         11,        96850, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,    17, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3633.PDF, /3633.PDF
1392,         11,        97013, Post-Election Stmt - 11/05/2024 General Election, 12/20/24, 12/06/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3548.PDF, /3548.PDF
1418,         10,        97007, Post-Election Stmt - 11/05/2024 General Election, 12/09/24, 12/06/24,     4, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3879.PDF, /3879.PDF
1433,          3,        97044, Post-Election Stmt - 11/05/2024 General Election, 11/27/24, 12/05/24,     5, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3499.PDF, /3499.PDF
1445,          3,        97028, Post-Election Stmt - 11/05/2024 General Election, 12/02/24, 12/05/24,     3, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3536.PDF, /3536.PDF
1454,          3,        97048, Post-Election Stmt - 11/05/2024 General Election, 12/02/24, 12/06/24,     3, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/4108.pdf, /4108.pdf
